plant_id,leaf_num,Area,Length,Width
1302-P1,7,212.45,46.44,6.51
1302-P1,8,299.78,54.58,8.23
1302-P1,9,431.01,61.53,11.81
1302-P1,10,472.32,63.37,10.5
1302-P1,11,536.25,66.73,12.01
1302-P1,12,508.69,62.43,11.6
1302-P1,13,466.95,59.61,11.04
1302-P1,14,386.52,55.34,10.46
1302-P1,15,296.72,48.53,8.81
1302-P1,16,172.84,39.07,6.23
1302-P2,6,183.73,45.87,5.74
1302-P2,7,295.35,55.8,7.8
1302-P2,8,438.92,63.94,10.94
1302-P2,9,529.65,69.89,12.23
1302-P2,10,577.89,69.81,13.5
1302-P2,11,561.4,66.2,13.63
1302-P2,12,505.67,60.01,11.78
1302-P2,13,420.75,54.08,11.46
1302-P2,14,343.56,49.41,10.41
1302-P2,15,215.04,40.14,7.64
1302-P2,16,96.4,32.22,4.35
1302-P3,7,180.84,46.87,6.61
1302-P3,8,318.13,55.01,7.89
1302-P3,9,422.73,63.69,9.79
1302-P3,10,472.51,66.01,10.69
1302-P3,11,446.46,62.58,10.65
1302-P3,12,389.91,55.68,10.18
1302-P3,13,373.8,55.49,9.87
1302-P3,14,278.3,45.34,8.98
1302-P3,15,205.09,39,7.69
1302-P3,16,109.08,30.77,5.17
1312-P1,8,289.09,61.36,7.59
1312-P1,9,363.83,68.7,7.39
1312-P1,10,386.29,68.91,9.21
1312-P1,11,417.93,71.01,9.35
1312-P1,12,433.83,68.5,9.55
1312-P1,13,399.57,66.8,8.74
1312-P1,14,355.72,60.71,8.67
1312-P1,15,307.98,56.1,8.09
1312-P1,16,242.26,51.21,6.66
1312-P1,17,136.08,37.35,4.91
1312-P2,7,167.67,48.27,4.93
1312-P2,8,252.44,57.05,6.38
1312-P2,9,330.69,67.54,7.04
1312-P2,10,375.76,67.89,8.02
1312-P2,11,400.69,69.19,9.12
1312-P2,12,404.23,66.04,8.67
1312-P2,13,372.34,63.3,8.44
1312-P2,14,343.17,59.59,8.42
1312-P2,15,266.79,47.43,8.02
1312-P2,16,218.2,44.27,6.7
1312-P2,17,109.42,31.97,4.89
1312-P3,8,284.84,61.69,6.56
1312-P3,9,358.1,65.37,7.95
1312-P3,10,396.12,68.31,9.35
1312-P3,11,422.91,70.97,8.41
1312-P3,12,431.61,69.14,9.22
1312-P3,13,399.44,66.95,8.69
1312-P3,14,359.45,60.48,8.59
1312-P3,15,287.04,54.84,8.02
1312-P3,16,248.9,50.13,7.1
1312-P3,17,155.4,38.15,5.7
1304-P1,8,162.03,47.77,4.41
1304-P1,9,250.78,66.76,5.22
1304-P1,11,394.23,77.79,7.76
1304-P1,12,393.29,73.33,8.26
1304-P1,13,367.41,66.53,8.54
1304-P1,14,336.37,64.14,7.47
1304-P1,15,306.63,62.19,7.39
1304-P1,16,282.02,56.95,7.29
1304-P1,17,231.02,50.74,6.25
1304-P1,18,192.58,51.46,5.75
1304-P1,19,145.83,43.11,5.32
1304-P2,8,142.92,53.45,3.97
1304-P2,9,210.04,63.21,4.6
1304-P2,10,280,69.74,5.62
1304-P2,11,340.44,76.29,6.57
1304-P2,12,380.79,73.97,7.47
1304-P2,13,364.4,73.91,7.45
1304-P2,14,331.08,70.41,7.33
1304-P2,15,311.51,65.57,7.53
1304-P2,16,276.87,60.4,6.97
1304-P2,17,251.64,54.44,6.67
1304-P2,18,206.99,51.53,6.14
1304-P2,19,134.77,41.23,4.86
1304-P3,8,185.56,58.14,4.26
1304-P3,9,252.6,68.47,5.04
1304-P3,10,318.84,76.85,5.86
1304-P3,11,350.98,73.6,6.65
1304-P3,12,326.19,71.37,7.76
1304-P3,13,326.09,68.98,7.31
1304-P3,14,247.57,48.92,6.03
1304-P3,15,248.01,53.96,6.08
1304-P3,16,227.34,55.15,6.37
1304-P3,17,182.96,49.28,5.45
1304-P3,18,127.93,39.94,4.62
1303-P1,7,135,39.54,4.52
1303-P1,8,264.55,51.59,6.86
1303-P1,9,353.61,62.38,7.61
1303-P1,10,431.58,66.28,9.5
1303-P1,11,438.98,62.99,9.99
