PlotID	Accession	Genotype	AltGenotype	EarLeafArea	TotalLeafAreaPlot	Min_RGB_10_7_19_R	Min_RGB_10_7_19_G	Min_RGB_10_7_19_B	1stQu_RGB_10_7_19_R	1stQu_RGB_10_7_19_G	1stQu_RGB_10_7_19_B	Median_RGB_10_7_19_R	Median_RGB_10_7_19_G	Median_RGB_10_7_19_B	Mean_RGB_10_7_19_R	Mean_RGB_10_7_19_G	Mean_RGB_10_7_19_B	3rdQu_RGB_10_7_19_R	3rdQu_RGB_10_7_19_G	3rdQu_RGB_10_7_19_B	Max_RGB_10_7_19_R	Max_RGB_10_7_19_G	Max_RGB_10_7_19_B	sd_RGB_10_7_19_R	sd_RGB_10_7_19_G	sd_RGB_10_7_19_B
EL19_5166	Ames10254	GE54	GE54	630.33	15758.25	0	0	0	64.75	56.75	52	93	85	76.5	105.058823529412	98.0367647058823	87.9926470588235	138	129.25	113.5	254	254	237	57.0467988137981	57.0851745802949	50.1703020201496
EL19_6459	Ames10254	GE54	GE54	557.54	15053.58	0	0	0	70	61	54.5	96	91	82	107.725925925926	101.585185185185	91.2962962962963	134.5	127	117.5	251	255	240	53.1717057557828	54.3524135021641	48.4765020895374
EL19_5715	Ames10256	GE129	GE129	470.76	15064.32	19	17	17	74.25	72.5	55.25	120.5	122	87.5	128.055555555556	126.992063492063	96.0476190476191	175.75	180	131	250	251	207	62.6985557161318	64.904914579005	50.1303671868231
EL19_6527	Ames10256	GE129	GE129	442.375	13713.625	27	28	25	99.75	99.25	75.75	131	127.5	106.5	135.792857142857	136.671428571429	107.442857142857	177	182	137.5	240	246	210	49.9514147297614	54.0262982668563	41.4062643278883
EL19_5847	Ames12726	NC13	NC13	524.775	17317.575	35	27	24	75.25	66.25	60.25	100.5	92	81.5	113.047619047619	104.47619047619	92.3015873015873	152	144	124.75	235	232	207	49.409935380303	49.9588173255876	42.0851080248146
EL19_6786	Ames12726	NC13	NC13	532.365	16503.315	28	20	18	74	66	58.5	97.5	92.5	83.5	113.371428571429	105.285714285714	91.9071428571429	147.25	140	115.75	239	240	202	52.3872331716741	52.8345164204747	43.9643243905344
EL19_5460	Ames12732	NC232	NC232	455.985	11399.625	41	33	23	86	79.75	63.75	125.5	123	96	129.310606060606	128.507575757576	102.568181818182	167.5	173	133.25	254	255	222	52.6122402638786	58.5630079176972	46.7256395578362
EL19_6652	Ames12732	NC232	NC232	454.325	10903.8	15	15	18	55	53	48.5	102	102	85	108.896296296296	109.6	92.3925925925926	152	153	127	250	254	218	61.9135499930942	64.985210717057	51.7827113856757
EL19_5486	Ames12734	NC236	NC236	444.19	13325.7	0	0	0	46.75	40	38.75	75.5	67.5	68.5	95.5571428571429	88.8285714285714	82.7	132.25	124	113	233	228	216	62.881786022351	61.6509019412913	55.4132545243321
EL19_6756	Ames12734	NC236	NC236	370.26	11478.06	16	11	13	41	35.5	36	74	66	66	97.9136690647482	91.0215827338129	86.0647482014388	148.5	137	124	253	251	247	67.7511946538223	66.5055808517851	60.5643996249355
EL19_5271	Ames19000	VaW6	VaW6	540.665	9731.97	14	9	9	71	62.75	59.75	102.5	93	87.5	111.642857142857	103.021428571429	97.6	152	143.25	135	249	246	232	52.074113127014	51.6726647824	48.0058149954909
EL19_6309	Ames19000	VaW6	VaW6	470.305	15049.76	16	10	9	33	29	27	59.5	50	46.5	77.5555555555556	69.5952380952381	63.5396825396825	108.5	94.75	78.5	217	217	207	55.2099346937568	53.3767258001356	48.5039628556102
EL19_5835	Ames19002	Va17	Va17	515.57	11858.11	31	23	25	77	70	64.75	110.5	104.5	92.5	113.571428571429	109.392857142857	100.371428571429	145.25	144.25	127	226	234	211	49.3971051575343	51.345871399399	45.6828829706013
EL19_6261	Ames19002	Va17	Va17	526.57	15270.53	22	19	19	48.75	44	42.75	77	69	69	90.1857142857143	87.5285714285714	81.4285714285714	127.5	126.25	113	235	236	215	52.0198614136996	54.5778360233791	47.9427330533081
EL19_5826	Ames19011	Va38	Va38	393.905	11423.245	47	39	35	94	85	76.75	119.5	108	99	127.057142857143	117.685714285714	104.7	155.25	145	126.25	253	252	227	45.2954762028161	45.7607298758084	39.3723600234092
EL19_6304	Ames19011	Va38	Va38	425.54	12340.66	32	27	28	73.5	65.5	61	108	99	89.5	117.769841269841	108.730158730159	96.8253968253968	154	146.25	125.25	250	249	226	54.395906125136	55.1635260219523	47.6948767672301
EL19_5532	Ames19014	Va52	Va52	447.845	14778.885	0	0	0	73	62.75	57.5	103.5	91.5	84.5	110.585714285714	99.45	89.9071428571429	148.25	134	121.25	241	231	209	53.0356179644154	51.5117259822369	46.183384291147
EL19_6260	Ames19014	Va52	Va52	447.02	15198.68	14	12	12	47.5	41	42	87	78.5	74	103.135714285714	95.2714285714286	88.9857142857143	157.25	142.25	129.5	248	244	231	65.3673857377757	63.730643031856	57.1154309825345
EL19_5598	Ames19016	Va59	Va59	425.865	11924.22	28	19	19	109	95.75	87.5	138.5	128	119	137.914285714286	128.378571428571	116.45	176.25	166.25	150	247	244	213	45.5742710631707	46.8752312772643	41.5377656021965
EL19_6737	Ames19016	Va59	Va59	487.63	13166.01	21	17	16	65.5	59.75	51.75	90	87.5	75.5	100.364285714286	97.4642857142857	84.6285714285714	129	127	112.25	241	238	222	51.581493908907	51.8558337344207	45.2472572175849
EL19_5264	Ames19284	C103	C103	497.445	14425.905	41	30	27	96.75	84	75.75	135.5	123.5	112	134.528571428571	124.464285714286	112.857142857143	168	159.5	146.5	234	230	215	48.4149395542866	49.2761139494679	45.3322778628919
EL19_6316	Ames19284	C103	C103	476.425	14769.175	23	14	15	69	59.75	54.75	102	89	81	109.957142857143	100.142857142857	91.1928571428571	146	134.25	120.5	242	244	243	53.3620552585664	53.5314835660773	48.0581027879438
EL19_5171	Ames19288	Oh43	Oh43	444.565	9780.43	24	21	24	56.25	50.25	53	98	87	86	100.694029850746	93.0074626865672	90.5671641791045	136.75	125	121.5	230	233	222	49.0333977960703	47.741549859502	43.093262694324
EL19_6135	Ames19288	Oh43	Oh43	437.15	12240.2	0	0	0	80.5	74.5	77.25	116.5	109	107.5	116.216417910448	108.873134328358	105.544776119403	153	145.75	140.5	226	226	212	49.6779647283719	48.7652689243073	45.3256580013768
EL19_5818	Ames19293	Wf9	Wf9	574.275	15505.425	17	10	10	55	50	49	90.5	79	76	98.7857142857143	89.9928571428571	84.0214285714286	126	114.25	105	249	245	228	55.118288196666	54.3102592993193	48.2634359504487
EL19_6328	Ames19293	Wf9	Wf9	603.925	16909.9	21	14	15	57	51	48.75	86	78	72.5	105.75	97.2071428571429	89.7428571428571	157	144.25	130.25	244	245	228	60.3513841460602	59.0793267995443	52.4856090490111
EL19_5574	Ames19313	C123	C123	451.215	12182.805	29	24	28	69	64.25	61.75	103	94	90	108.635714285714	100.75	95.8714285714286	133.75	126.5	119.5	251	250	232	50.6268917528113	50.3558738259697	45.8141134449883
EL19_6797	Ames19313	C123	C123	432.37	12106.36	23	18	21	67.5	58	56.75	102	89.5	84.5	114.207142857143	104.278571428571	96.7285714285714	157	144.5	129	250	250	228	56.6123377290226	56.141530794581	50.9887620369392
EL19_5174	Ames19314	CI 64	CI 64	420.91	8418.2	39	31	28	104	102	79	150	151	118	139.255639097744	138.714285714286	112.533834586466	171	173	143	227	235	207	43.1425849760329	47.4760819253059	39.5536744782328
EL19_6285	Ames19314	CI 64	CI 64	382.675	10332.225	15	13	11	71.25	64.5	52.25	101.5	101	77	111.063492063492	111.531746031746	87.9206349206349	151.5	160	121	233	241	204	56.2431501296641	60.3928057315355	48.2897261412161
EL19_5269	Ames19319	H95	H95	402.67	13288.11	0	0	0	49	44.75	45	85.5	79	74	98.6785714285714	92.1714285714286	85.8785714285714	135.25	131.25	119.25	247	249	238	57.5021135497879	56.4939600587917	51.7564117401688
EL19_6300	Ames19319	H95	H95	451.15	15339.1	30	23	21	63	55	55	81.5	75	71	104.960317460317	97.9126984126984	91.3650793650794	138.25	128	115.25	251	250	229	56.9943717633453	57.6759249380564	51.5009286401095
EL19_5343	Ames19321	N28	N28	397.355	8741.81	27	23	25	71	65	61	103	97.5	88.5	101.392857142857	97.3642857142857	86.7428571428571	123	122	105.25	239	243	219	41.3430457347657	44.1226561672788	35.8561015805537
EL19_6324	Ames19321	N28	N28	376.24	11663.44	30	23	20	87	78	70.75	124	117.5	104.5	125.164285714286	121.15	106.257142857143	166	165.5	142	249	252	226	50.4089193195821	54.2779848583914	45.2243601874911
EL19_5557	Ames19323	Oh7B	Oh7B	500.78	15524.18	0	0	0	106.5	98.5	90.5	137	129	118	133.73381294964	127.323741007194	114.136690647482	163.5	160.5	140.5	251	251	224	46.3863072530402	48.3122716470728	40.7112848790732
EL19_6195	Ames19323	Oh7B	Oh7B	539.79	15114.12	44	36	29	79	70.5	62	109	102	88	112	105.071428571429	89.7642857142857	143	136.5	113	221	217	190	41.6615344561072	43.6074118934525	34.4265688585287
EL19_5783	Ames19327	Tx303	Tx303	437.48	13124.4	42	35	33	81.75	73.75	67.75	120.5	113	101	121.071428571429	114.071428571429	102.992857142857	151.25	142.75	130.25	213	211	189	44.0808026629748	45.281794403704	39.3968001528246
EL19_6697	Ames19327	Tx303	Tx303	467.12	14013.6	27	23	28	92	80	75.5	117	108	100	119.75572519084	113.190839694656	103.801526717557	140	135	125.5	252	255	253	44.0562737352081	46.7258970369203	41.3123970679185
EL19_5296	Ames19328	Va22	Va22	459.01	12393.27	26	19	19	62.25	55.25	47	103.5	95	84	113.452380952381	106.150793650794	94.9920634920635	159.75	152	134.75	252	253	233	60.3356753031381	60.5784209051794	53.6865712865698
EL19_6187	Ames19328	Va22	Va22	551.855	14348.23	9	5	4	49	43	41.75	87.5	78.5	73	97.6428571428571	90.9642857142857	84.3571428571429	132.75	128	116	251	253	241	58.3927500462605	58.7022006027136	53.5491532997127
EL19_5590	Ames20116	Mo23W	Mo23W	368.325	11418.075	45	34	30	96	89.5	80	135	127.5	114.5	133.571428571429	125.835714285714	113.571428571429	171	159	142	237	232	215	44.7336068373467	44.940986198495	40.5913381370638
EL19_6798	Ames20116	Mo23W	Mo23W	360.5	11536	26	16	15	65.75	59	53	100	91	82.5	114.957142857143	107.664285714286	97.4	163.25	154	135.25	251	250	228	59.2616283618207	60.4862325395148	54.0757262795598
EL19_5223	Ames22023	C68	C68	442.94	14174.08	28	26	18	86	75	68	109	98	91	115.007142857143	103.907142857143	95.6857142857143	148.25	136	122.5	217	206	199	43.888592842629	42.7762955315664	38.8496614827961
EL19_6664	Ames22023	C68	C68	381.2	11054.8	0	0	0	96	84	82	136	125	120	126.36496350365	115.627737226277	111.70802919708	161	149	142	235	224	210	49.0833438731584	48.3794753666673	45.492591605011
EL19_5099	Ames22439	A73	A73	455.325	12293.775	10	4	6	39	33	33	67	61	58	75.5642857142857	68.9214285714286	66.6071428571429	103.25	94	90.25	232	223	202	45.0801381896546	42.6071341777007	39.3973845000791
EL19_6179	Ames22439	A73	A73	468.685	9842.385	19	17	21	84.5	77.5	78	126	117.5	118.5	122.228571428571	115.114285714286	113.392857142857	161	152	147	226	223	218	49.2655910182366	48.2699372778738	45.2902226220991
EL19_5370	Ames22751	H114	H114	400.54	12817.28	17	11	14	66	55.75	52.75	114	106	92	117.6	108.621428571429	99	162	152.25	134.25	242	240	223	59.612755141325	58.94436687618	52.075622930476
EL19_6419	Ames22751	H114	H114	395.635	11473.415	15	8	12	50	44.75	42	85.5	80	75.5	92.65	86.4285714285714	82.5285714285714	126	119	109.75	226	225	206	54.3091238674663	53.4244767627065	47.5764349590438
EL19_5398	Ames22754	K55	K55	434.13	14760.42	12	12	15	60.25	52.5	52.5	104	93.5	90.5	110.278571428571	102.714285714286	96	149	140	129.25	246	248	229	59.0056780412696	57.8978616563532	51.002609610199
EL19_6436	Ames22754	K55	K55	435.58	14809.72	0	0	0	42.5	34.75	33.5	79.5	69.5	68	100.807142857143	92.2571428571429	85.0071428571429	162.25	145.5	133.75	240	235	205	65.5392568863643	63.6879048892965	55.7538909089781
EL19_5584	Ames2328	NORTH 7	NORTH 7	376.355	4139.905	26	21	22	52	50	48.75	88	81	80	100.278571428571	93.6928571428571	90.05	144	131.5	125.25	218	215	213	52.0920695516575	50.6531293895832	47.3036000272661
EL19_6720	Ames2328	NORTH 7	NORTH 7	407.405	8962.91	33	27	28	106.25	97	96	154.5	146	140	145.428571428571	137.821428571429	133.657142857143	186	179	171.25	237	234	228	51.6922468696584	52.5442284213076	49.8613576287666
EL19_5736	Ames2332	Bei 10 = North 10	Bei 10 = North 10	431.79	10794.75	0	0	0	76.5	68.5	61.5	112	101	93	116.294964028777	109.36690647482	98.6258992805755	151.5	145	126	242	237	217	52.8120063804953	53.2711336418814	46.8231754492282
EL19_6621	Ames2332	Bei 10 = North 10	Bei 10 = North 10	428.845	10292.28	20	15	17	40.75	37	36.75	73.5	66.5	63.5	92.9214285714286	87.2642857142857	80.9428571428571	137	127.5	115.25	251	252	227	59.6316110290148	59.0921254555379	52.120194711973
EL19_5506	Ames2333	Yong 28	Yong 28	369.705	8503.215	36	29	31	112	102.5	97.75	154	144	138	144.873015873016	136.380952380952	129.738095238095	179	170.5	161.5	239	232	224	42.4748366216016	43.1623645585563	40.4014214742855
EL19_6183	Ames2333	Yong 28	Yong 28	491.945	15250.295	24	17	18	58	50.75	48.75	83.5	75	71	94.9785714285714	87.1071428571429	82.1428571428571	118	109	101.25	254	254	252	48.4655878596102	48.2357365399119	43.8136294008429
EL19_5851	Ames2335	YE 4	YE 4	364.57	8385.11	22	18	20	50	45	44	75.5	68.5	66	84.2777777777778	77.6666666666667	74.1507936507936	113.25	105.5	96.75	228	222	208	45.0519058667025	42.9069691308999	38.8984457191426
EL19_6186	Ames2335	YE 4	YE 4	318.565	8919.82	14	8	10	48.75	41.75	40.75	70	62.5	60.5	78.6928571428571	71.1428571428571	67.5214285714286	100.5	91.25	86	189	177	160	39.3301642396283	37.5619529354474	34.2524415675757
EL19_5308	Ames2336	52220	52220	263.24	8160.44	43	35	37	76.75	70	70	103.5	95.5	91.5	109.785714285714	101.293650793651	96.3888888888889	136	126.5	116	233	237	228	40.9478902299705	41.0671776406059	36.9065787571207
EL19_6830	Ames2336	52220	52220	289.315	7522.19	13	8	8	39.25	36.25	37	68	64	60.5	76.4538461538462	70.9923076923077	66.7461538461538	110.25	103	94.5	207	203	187	42.5714377332246	40.7736227537207	35.7819216270589
EL19_5121	Ames2337	Huanyao	Huanyao	384.31	9607.75	28	25	30	59	54	56	75.5	69	69	80.5396825396825	74.4523809523809	74.8333333333333	96	89.75	90	233	234	237	31.1696392776434	29.7045739623667	27.8997491028145
EL19_6448	Ames2337	Huanyao	Huanyao	363.45	9813.15	0	0	0	48	40.5	41	83	76	72	85.4244604316547	79.0935251798561	77.1942446043166	116	108	105.5	202	195	177	46.287691796464	44.9398780475908	41.6433925196835
EL19_5815	Ames2339	Huobai	Huobai	361.64	9041	0	0	0	45	41	42.5	67	60.5	60.5	81.6071428571429	75.45	72.1642857142857	111.5	100.25	94.5	251	253	243	53.199326066561	51.5367194652261	46.7973759816371
EL19_6771	Ames2339	Huobai	Huobai	383.25	10347.75	17	16	18	48.75	43.75	45	77	69	65	92.9142857142857	86.9857142857143	79.9357142857143	126.25	120.75	109.25	227	236	210	55.5941725783016	54.7830233791935	47.0816237066335
EL19_5108	Ames23405	A239	A239	466.075	14914.4	26	20	21	53.25	45.25	42	80	70	64	103.198412698413	92.5952380952381	83.9523809523809	140.25	125	110.5	251	250	222	62.480079365029	61.6823058675894	54.8660707020807
EL19_6763	Ames23405	A239	A239	464.98	12554.46	20	18	17	47.5	45	42	75.5	71	65	92.9785714285714	87.3642857142857	79.5357142857143	121.75	113	97.5	250	252	239	56.9565614940463	55.5754993264605	50.0667770937063
EL19_5195	Ames23421	A321	A321	474.515	14235.45	16	11	15	53.75	47.75	48.75	83.5	76.5	74.5	89.5785714285714	81.85	78.9928571428571	114.5	105	103	211	203	193	45.0058458004944	43.5164609556053	39.954559878534
EL19_6125	Ames23421	A321	A321	498.69	13464.63	0	0	0	26	25	26	58	54	50	75.3358778625954	70.4274809160305	68.0458015267176	110.5	103	98.5	234	226	219	56.2705840200206	54.8281273315287	50.7957997348085
EL19_5856	Ames23422	A322	A322	369.775	11832.8	29	24	29	66.25	58.25	58.25	97.5	90.5	89	103.722222222222	96.4761904761905	93.9365079365079	142.25	134.75	130.75	216	213	201	46.0025458232718	45.6322191940237	42.619009098147
