PlotID	Accession	Genotype	AltGenotype	EarLeafArea	TotalLeafAreaPlot	Min_RGB_9_2_19_R	Min_RGB_9_2_19_G	Min_RGB_9_2_19_B	1stQu_RGB_9_2_19_R	1stQu_RGB_9_2_19_G	1stQu_RGB_9_2_19_B	Median_RGB_9_2_19_R	Median_RGB_9_2_19_G	Median_RGB_9_2_19_B	Mean_RGB_9_2_19_R	Mean_RGB_9_2_19_G	Mean_RGB_9_2_19_B	3rdQu_RGB_9_2_19_R	3rdQu_RGB_9_2_19_G	3rdQu_RGB_9_2_19_B	Max_RGB_9_2_19_R	Max_RGB_9_2_19_G	Max_RGB_9_2_19_B	sd_RGB_9_2_19_R	sd_RGB_9_2_19_G	sd_RGB_9_2_19_B
EL19_5166	Ames10254	GE54	GE54	630.33	15758.25	31	30	17	70.5	78	50	109	120	86	108.933823529412	124.433823529412	88.3529411764706	148.25	168.25	125.25	212	241	193	47.5045732232612	54.8027712472959	45.2635949557969
EL19_6459	Ames10254	GE54	GE54	557.54	15053.58	38	42	27	78.5	92	52.5	113	119	86	120.725925925926	132.340740740741	91.7481481481481	159.5	173.5	124	231	248	210	48.2517387560236	53.5236261074118	44.6518403154896
EL19_5715	Ames10256	GE129	GE129	470.76	15064.32	24	27	24	49.25	65	44.5	77	90.5	64	88.2222222222222	104.97619047619	76.3253968253968	116	138.5	100.75	210	238	194	46.8329608526113	52.1731677068915	37.7767821530801
EL19_6527	Ames10256	GE129	GE129	442.375	13713.625	31	31	21	75.75	83.75	47.75	99.5	118	65	105.457142857143	122.435714285714	70.4	130.25	156	86	235	252	190	42.5436502762559	51.0381731470785	33.2863745970172
EL19_5847	Ames12726	NC13	NC13	524.775	17317.575	43	42	24	108	112	74.25	134	137	97	137.309523809524	148.634920634921	106.253968253968	172.75	197	142.75	230	252	206	43.6809275150085	48.9467634353248	41.8767594749998
EL19_6786	Ames12726	NC13	NC13	532.365	16503.315	42	45	23	74	90.75	54	106	123	82.5	109.578571428571	127.121428571429	86.4571428571429	142.25	158.5	116	223	245	198	41.456064609518	46.1434216855553	37.9868154765754
EL19_5460	Ames12732	NC232	NC232	455.985	11399.625	0	0	0	94.75	98.5	62	124.5	139.5	86	128.477272727273	140.954545454545	90.469696969697	160.25	177.75	119	240	251	206	42.2371469060677	51.4566242349263	37.5390767177817
EL19_6652	Ames12732	NC232	NC232	454.325	10903.8	0	0	0	63.5	82	51	95	120	69	101.851851851852	122.933333333333	83.6666666666667	145.5	166.5	114.5	215	251	196	54.9205013672094	66.0922241232071	48.8262224629348
EL19_5486	Ames12734	NC236	NC236	444.19	13325.7	0	0	0	72.25	76	68.75	103	115	97	108.142857142857	121.335714285714	102.021428571429	140.25	165.5	133.25	214	241	210	49.0000104872359	58.8704969060135	47.0061174431711
EL19_6756	Ames12734	NC236	NC236	370.26	11478.06	39	36	14	89.5	101	54.5	130	149	94	130.230215827338	144.913669064748	95.2877697841727	162.5	188.5	124.5	242	251	230	50.5321416650574	56.8955924039036	46.2780263073431
