ID,Class,BLUE_7_2_19,GREEN_7_2_19,NIR_7_2_19,RED_7_2_19,REDEDGE_7_2_19,Min_RGB_7_2_19_R,Min_RGB_7_2_19_G,Min_RGB_7_2_19_B,1stQu_RGB_7_2_19_R,1stQu_RGB_7_2_19_G,1stQu_RGB_7_2_19_B,Median_RGB_7_2_19_R,Median_RGB_7_2_19_G,Median_RGB_7_2_19_B,Mean_RGB_7_2_19_R,Mean_RGB_7_2_19_G,Mean_RGB_7_2_19_B,3rdQu_RGB_7_2_19_R,3rdQu_RGB_7_2_19_G,3rdQu_RGB_7_2_19_B,Max_RGB_7_2_19_R,Max_RGB_7_2_19_G,Max_RGB_7_2_19_B,sd_RGB_7_2_19_R,sd_RGB_7_2_19_G,sd_RGB_7_2_19_B,BLUE_9_2_19,GREEN_9_2_19,NIR_9_2_19,RED_9_2_19,REDEDGE_9_2_19,Min_RGB_9_2_19_R,Min_RGB_9_2_19_G,Min_RGB_9_2_19_B,1stQu_RGB_9_2_19_R,1stQu_RGB_9_2_19_G,1stQu_RGB_9_2_19_B,Median_RGB_9_2_19_R,Median_RGB_9_2_19_G,Median_RGB_9_2_19_B,Mean_RGB_9_2_19_R,Mean_RGB_9_2_19_G,Mean_RGB_9_2_19_B,3rdQu_RGB_9_2_19_R,3rdQu_RGB_9_2_19_G,3rdQu_RGB_9_2_19_B,Max_RGB_9_2_19_R,Max_RGB_9_2_19_G,Max_RGB_9_2_19_B,sd_RGB_9_2_19_R,sd_RGB_9_2_19_G,sd_RGB_9_2_19_B,diff_BLUE_9_2_19_BLUE_7_2_19,diff_GREEN_9_2_19_GREEN_7_2_19,diff_NIR_9_2_19_NIR_7_2_19,diff_RED_9_2_19_RED_7_2_19,diff_REDEDGE_9_2_19_REDEDGE_7_2_19,diff_Min_RGB_9_2_19_R_Min_RGB_7_2_19_R,diff_Min_RGB_9_2_19_G_Min_RGB_7_2_19_G,diff_Min_RGB_9_2_19_B_Min_RGB_7_2_19_B,diff_1stQu_RGB_9_2_19_R_1stQu_RGB_7_2_19_R,diff_1stQu_RGB_9_2_19_G_1stQu_RGB_7_2_19_G,diff_1stQu_RGB_9_2_19_B_1stQu_RGB_7_2_19_B,diff_Median_RGB_9_2_19_R_Median_RGB_7_2_19_R,diff_Median_RGB_9_2_19_G_Median_RGB_7_2_19_G,diff_Median_RGB_9_2_19_B_Median_RGB_7_2_19_B,diff_Mean_RGB_9_2_19_R_Mean_RGB_7_2_19_R,diff_Mean_RGB_9_2_19_G_Mean_RGB_7_2_19_G,diff_Mean_RGB_9_2_19_B_Mean_RGB_7_2_19_B,diff_3rdQu_RGB_9_2_19_R_3rdQu_RGB_7_2_19_R,diff_3rdQu_RGB_9_2_19_G_3rdQu_RGB_7_2_19_G,diff_3rdQu_RGB_9_2_19_B_3rdQu_RGB_7_2_19_B,diff_Max_RGB_9_2_19_R_Max_RGB_7_2_19_R,diff_Max_RGB_9_2_19_G_Max_RGB_7_2_19_G,diff_Max_RGB_9_2_19_B_Max_RGB_7_2_19_B,diff_sd_RGB_9_2_19_R_sd_RGB_7_2_19_R,diff_sd_RGB_9_2_19_G_sd_RGB_7_2_19_G,diff_sd_RGB_9_2_19_B_sd_RGB_7_2_19_B,diff_z_position_sept_jul
EL19_5098,9484.425,0.072237937,0.115038462,0.312846084,0.138868819,0.201089685,49,36,35,146.5,140.5,138.0,157.5,153.0,150.0,157.385714285714,152.492857142857,149.192857142857,175.0,170.25,167.0,199,191,189,21.9146761751167,22.0817631804913,22.513591875046,0.038164335,0.08629762699999999,0.496406558,0.070751858,0.202326142,45,42,18,83.0,84.0,62.0,110.0,113.5,85.5,115.407142857143,122.207142857143,92.79285714285707,146.5,156.5,120.0,232,249,208,42.533084275244605,46.5978503886473,39.4473506561898,-0.034073602,-0.028740835000000006,0.18356047400000006,-0.06811696099999999,0.0012364569999999966,-4,6,-17,-63.5,-56.5,-76.0,-47.5,-39.5,-64.5,-41.97857142857099,-30.285714285713997,-56.39999999999992,-28.5,-13.75,-47.0,33,58,19,20.61840810012791,24.516087208155998,16.933758781143798,3.115857288859729
EL19_5099,12293.775,0.067314762,0.117965536,0.33839335,0.123294052,0.213633041,82,91,80,139.75,135.0,131.5,155.0,150.5,147.0,150.914285714286,150.59285714285699,143.607142857143,171.0,170.0,164.0,193,188,184,25.506519328656,21.0746861104906,24.4768857133429,0.02978045,0.0734911,0.453850232,0.049416046,0.162900446,18,20,9,48.0,59.75,39.0,84.5,100.0,69.5,90.02857142857141,105.35,75.2642857142857,122.25,147.0,107.75,208,234,186,48.6450871264676,55.4894409555003,42.4714225909163,-0.037534312,-0.044474435999999985,0.11545688200000005,-0.073878006,-0.05073259500000002,-64,-71,-71,-91.75,-75.25,-92.5,-70.5,-50.5,-77.5,-60.88571428571458,-45.24285714285699,-68.3428571428573,-48.75,-23.0,-56.25,15,46,2,23.138567797811604,34.414754845009696,17.9945368775734,3.10829787087323
EL19_5137,14374.08,0.066221072,0.111373003,0.336597273,0.12582950699999998,0.202628198,44,64,38,130.75,125.0,116.25,159.5,152.0,142.0,148.436507936508,142.53968253968299,132.222222222222,178.75,168.0,158.75,199,192,181,37.709944795875,31.736326389461198,33.9474626772344,0.035978575,0.08439537800000001,0.4533033970000001,0.090687958,0.23184486,57,50,33,101.0,92.25,61.0,121.0,111.5,80.0,123.06349206349199,115.15873015873,81.65079365079359,148.5,139.5,96.75,214,200,161,31.379673938840398,32.661025752027506,27.4961284432023,-0.030242497000000007,-0.026977625,0.11670612400000008,-0.035141548999999966,0.029216662000000008,13,-14,-5,-29.75,-32.75,-55.25,-38.5,-40.5,-62.0,-25.373015873016016,-27.380952380952976,-50.571428571428406,-30.25,-28.5,-62.0,15,8,-20,-6.330270857034607,0.9246993625663079,-6.4513342340321,3.454723600443799
EL19_5136,17118.975,0.06384867799999999,0.112825429,0.338212026,0.121923192,0.205385213,0,0,0,124.0,126.25,111.5,153.5,144.5,135.5,144.166666666667,141.23809523809499,128.46031746031701,169.75,162.75,151.0,194,186,177,36.9058802902735,30.5685926588526,33.295921862871,0.036586392,0.093272001,0.442665128,0.07185756900000001,0.198094074,0,0,0,64.75,73.5,46.25,108.5,113.0,78.5,110.174603174603,118.34920634920601,83.2301587301587,152.25,163.0,121.0,253,252,211,51.8630626731711,57.827926466069,44.949600700947286,-0.02726228599999999,-0.019553428000000008,0.10445310199999996,-0.050065622999999976,-0.00729113900000003,0,0,0,-59.25,-52.75,-65.25,-45.0,-31.5,-57.0,-33.99206349206399,-22.88888888888897,-45.23015873015831,-17.5,0.25,-30.0,59,66,34,14.9571823828976,27.259333807216397,11.653678838076296,3.667994496835604
EL19_5135,12882.87,0.064075019,0.114574791,0.337936769,0.12011712,0.202816086,50,68,47,130.5,128.0,114.0,155.5,144.5,136.5,146.23809523809499,142.03968253968299,130.301587301587,169.0,160.0,150.0,194,185,175,32.804738333705004,25.265755731788698,29.1693729356721,0.035175646,0.08752346400000001,0.476621459,0.067009101,0.183910885,26,26,12,70.0,75.5,50.0,102.0,116.5,75.0,104.095238095238,116.055555555556,80.484126984127,138.0,155.0,112.75,206,224,186,43.354802007884395,49.1632880195059,39.3183385461765,-0.028899373,-0.027051326999999983,0.13868469,-0.053108018999999985,-0.01890520100000001,-24,-42,-35,-60.5,-52.5,-64.0,-53.5,-28.0,-61.5,-42.142857142856975,-25.984126984126988,-49.817460317460004,-31.0,-5.0,-37.25,12,39,11,10.550063674179393,23.897532287717198,10.148965610504398,3.2580996238453963
EL19_5134,14418.88,0.06418703099999999,0.111740196,0.332572491,0.122112712,0.20171905,53,62,47,133.0,135.0,121.25,158.0,149.0,140.0,145.873015873016,142.730158730159,130.825396825397,170.0,163.75,153.25,192,185,174,35.461976059319504,28.4892717206776,31.401166695542894,0.031728632,0.089461023,0.533954645,0.05373578,0.196426443,27,28,5,63.25,88.5,47.25,90.5,117.0,69.5,96.1904761904762,121.02380952381,75.3253968253968,121.0,155.0,100.0,206,234,171,40.78131224680529,48.304113992199795,39.1797558675558,-0.032458398999999985,-0.022279173,0.201382154,-0.068376932,-0.005292607000000005,-26,-34,-42,-69.75,-46.5,-74.0,-67.5,-32.0,-70.5,-49.682539682539776,-21.706349206348985,-55.50000000000021,-49.0,-8.75,-53.25,14,49,-3,5.3193361874857885,19.814842271522195,7.7785891720129,3.328589939238441
EL19_5133,12492.475,0.063797961,0.110799611,0.330498703,0.122080439,0.201019215,59,78,55,138.25,132.0,120.25,159.0,149.0,140.0,150.03968253968299,146.26190476190501,135.174603174603,177.75,171.0,160.0,198,191,183,34.0821127968677,27.708822731088,30.2390686007567,0.029776415,0.069880955,0.366990691,0.063267077,0.153924466,32,38,15,73.0,74.25,51.0,90.0,102.0,63.5,97.81746031746029,102.722222222222,70.73809523809521,124.0,131.25,91.0,207,199,178,33.56936717750889,36.9636878871985,30.5808249912074,-0.034021546,-0.040918656,0.03649198800000003,-0.058813362,-0.047094748999999984,-27,-40,-40,-65.25,-57.75,-69.25,-69.0,-47.0,-76.5,-52.2222222222227,-43.53968253968301,-64.43650793650778,-53.75,-39.75,-69.0,9,8,-5,-0.5127456193588031,9.254865156110503,0.3417563904507013,1.1575854452281646
EL19_5132,12349.755,0.06435184099999999,0.11490567,0.33706153,0.125255359,0.207794675,57,78,54,136.25,135.0,121.5,164.5,158.0,147.5,152.88095238095198,150.031746031746,137.48412698412702,179.75,173.0,162.0,197,190,180,34.994766955728004,29.1616011927841,32.4362104141613,0.036788734,0.096274936,0.435114072,0.07547249,0.207928085,50,48,25,100.25,102.5,62.5,122.0,134.0,86.5,123.579365079365,133.873015873016,88.59523809523809,145.5,157.25,110.0,209,239,169,34.331176076470896,39.8920511635056,32.2617243361674,-0.027563107,-0.01863073400000001,0.09805254200000002,-0.049782869000000014,0.0001334100000000005,-7,-30,-29,-36.0,-32.5,-59.0,-42.5,-24.0,-61.0,-29.301587301586977,-16.15873015873001,-48.88888888888893,-34.25,-15.75,-52.0,12,49,-11,-0.6635908792571072,10.730449970721498,-0.1744860779939046,2.1394959990605003
EL19_5130,8614.89,0.068615146,0.119347533,0.343259679,0.13383466,0.216930936,71,88,63,146.0,141.0,131.25,162.5,154.0,145.5,157.174603174603,151.468253968254,142.063492063492,178.0,169.75,162.75,194,191,179,26.7546121227961,22.0253259709586,24.9186664271573,0.042045155,0.104107674,0.469990173,0.09365429,0.244472906,77,73,42,115.25,117.0,71.25,134.5,137.5,95.0,138.15873015873,141.373015873016,96.3333333333333,163.0,168.75,117.75,211,229,181,32.8313052310535,34.9442376656259,31.5734065314467,-0.026569991,-0.01523985900000001,0.12673049399999994,-0.040180369999999986,0.02754197,6,-15,-21,-30.75,-24.0,-60.0,-28.0,-16.5,-50.5,-19.015873015872984,-10.095238095238015,-45.73015873015869,-15.0,-1.0,-45.0,17,38,2,6.076693108257397,12.918911694667294,6.654740104289398,1.8636431803598725
EL19_5129,7471.875,0.06838511,0.118896023,0.33712589600000004,0.130477623,0.212353121,78,89,73,137.0,130.0,123.0,156.0,148.0,141.0,152.706349206349,145.674603174603,138.349206349206,170.0,161.75,155.75,194,185,177,24.1233720562669,19.9538785663657,22.090112706029394,0.047891318,0.113840889,0.459566405,0.098244564,0.226577963,59,53,27,105.0,106.0,77.5,137.5,144.5,105.5,143.865079365079,145.865079365079,108.84126984127,183.75,182.0,141.75,254,255,211,48.712109898809004,50.017013613306105,40.6376008540687,-0.020493792000000004,-0.005055134000000003,0.12244050899999998,-0.032233059000000015,0.014224842000000015,-19,-36,-46,-32.0,-24.0,-45.5,-18.5,-3.5,-35.5,-8.841269841269993,0.19047619047600506,-29.507936507936023,13.75,20.25,-14.0,60,70,34,24.588737842542105,30.063135046940413,18.547488148039307,2.2396352291195853
