# 17184.181165 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.5,1000.0,-4770620.655531476
10.0,0.5,500.0,-4779414.199119597
10.0,0.5,100.0,-4811317.557729411
10.0,sqrt,1000.0,-4868602.138984533
10.0,sqrt,500.0,-4873384.505238072
10.0,0.1,1000.0,-4888389.110158784
10.0,0.1,500.0,-4897972.418092703
10.0,sqrt,100.0,-4902300.454551189
5.0,0.5,500.0,-4917163.732050346
10.0,0.1,100.0,-4918216.505420431
5.0,0.5,1000.0,-4919712.736579133
10.0,log2,1000.0,-4920141.726965045
10.0,log2,500.0,-4922384.3176629795
5.0,0.5,100.0,-4926799.758006133
10.0,log2,100.0,-4945716.579166396
5.0,sqrt,1000.0,-5123159.790943062
5.0,sqrt,500.0,-5123849.270262822
5.0,sqrt,100.0,-5127458.72164194
5.0,0.1,1000.0,-5167374.713038626
5.0,0.1,500.0,-5167390.6846548505
5.0,0.1,100.0,-5172077.176918012
5.0,log2,1000.0,-5216126.83200929
5.0,log2,500.0,-5222421.583077262
5.0,log2,100.0,-5237344.407661659
3.0,0.5,500.0,-5257566.068348268
3.0,0.5,1000.0,-5257954.673081477
3.0,0.5,100.0,-5262704.3676861655
3.0,sqrt,500.0,-5559376.609965182
3.0,sqrt,1000.0,-5564125.618087158
3.0,sqrt,100.0,-5580823.642213436
3.0,0.1,500.0,-5608044.922638124
3.0,0.1,1000.0,-5614330.92057982
3.0,0.1,100.0,-5615567.384747385
3.0,log2,500.0,-5671988.542312217
3.0,log2,1000.0,-5672819.625922633
3.0,log2,100.0,-5693731.858570476
