ID	Class	Min_RGB_10_7_19_R	Min_RGB_10_7_19_G	Min_RGB_10_7_19_B	1stQu_RGB_10_7_19_R	1stQu_RGB_10_7_19_G	1stQu_RGB_10_7_19_B	Median_RGB_10_7_19_R	Median_RGB_10_7_19_G	Median_RGB_10_7_19_B	Mean_RGB_10_7_19_R	Mean_RGB_10_7_19_G	Mean_RGB_10_7_19_B	3rdQu_RGB_10_7_19_R	3rdQu_RGB_10_7_19_G	3rdQu_RGB_10_7_19_B	Max_RGB_10_7_19_R	Max_RGB_10_7_19_G	Max_RGB_10_7_19_B	sd_RGB_10_7_19_R	sd_RGB_10_7_19_G	sd_RGB_10_7_19_B
EL19_5166	15758.25	0	0	0	64.75	56.75	52.0	93.0	85.0	76.5	105.05882352941201	98.0367647058823	87.99264705882351	138.0	129.25	113.5	254	254	237	57.046798813798105	57.0851745802949	50.170302020149606
EL19_6459	15053.58	0	0	0	70.0	61.0	54.5	96.0	91.0	82.0	107.72592592592599	101.585185185185	91.29629629629629	134.5	127.0	117.5	251	255	240	53.171705755782796	54.3524135021641	48.4765020895374
EL19_5715	15064.32	19	17	17	74.25	72.5	55.25	120.5	122.0	87.5	128.055555555556	126.99206349206301	96.0476190476191	175.75	180.0	131.0	250	251	207	62.6985557161318	64.90491457900501	50.1303671868231
EL19_6527	13713.625	27	28	25	99.75	99.25	75.75	131.0	127.5	106.5	135.792857142857	136.671428571429	107.442857142857	177.0	182.0	137.5	240	246	210	49.9514147297614	54.0262982668563	41.4062643278883
EL19_5847	17317.575	35	27	24	75.25	66.25	60.25	100.5	92.0	81.5	113.047619047619	104.47619047619	92.30158730158729	152.0	144.0	124.75	235	232	207	49.409935380303004	49.958817325587596	42.0851080248146
EL19_6786	16503.315	28	20	18	74.0	66.0	58.5	97.5	92.5	83.5	113.371428571429	105.285714285714	91.9071428571429	147.25	140.0	115.75	239	240	202	52.3872331716741	52.8345164204747	43.9643243905344
EL19_5460	11399.625	41	33	23	86.0	79.75	63.75	125.5	123.0	96.0	129.310606060606	128.507575757576	102.568181818182	167.5	173.0	133.25	254	255	222	52.612240263878604	58.5630079176972	46.725639557836196
EL19_6652	10903.8	15	15	18	55.0	53.0	48.5	102.0	102.0	85.0	108.896296296296	109.6	92.3925925925926	152.0	153.0	127.0	250	254	218	61.91354999309421	64.985210717057	51.782711385675704
EL19_5486	13325.7	0	0	0	46.75	40.0	38.75	75.5	67.5	68.5	95.5571428571429	88.82857142857141	82.7	132.25	124.0	113.0	233	228	216	62.881786022351	61.650901941291295	55.4132545243321
EL19_6756	11478.06	16	11	13	41.0	35.5	36.0	74.0	66.0	66.0	97.9136690647482	91.0215827338129	86.06474820143879	148.5	137.0	124.0	253	251	247	67.7511946538223	66.5055808517851	60.564399624935504
EL19_5271	9731.97	14	9	9	71.0	62.75	59.75	102.5	93.0	87.5	111.642857142857	103.021428571429	97.6	152.0	143.25	135.0	249	246	232	52.074113127013995	51.6726647824	48.005814995490894
EL19_6309	15049.76	16	10	9	33.0	29.0	27.0	59.5	50.0	46.5	77.55555555555559	69.5952380952381	63.5396825396825	108.5	94.75	78.5	217	217	207	55.2099346937568	53.3767258001356	48.5039628556102
EL19_5835	11858.11	31	23	25	77.0	70.0	64.75	110.5	104.5	92.5	113.57142857142901	109.392857142857	100.371428571429	145.25	144.25	127.0	226	234	211	49.39710515753429	51.345871399399	45.6828829706013
EL19_6261	15270.53	22	19	19	48.75	44.0	42.75	77.0	69.0	69.0	90.1857142857143	87.52857142857141	81.4285714285714	127.5	126.25	113.0	235	236	215	52.0198614136996	54.5778360233791	47.9427330533081
EL19_5826	11423.245	47	39	35	94.0	85.0	76.75	119.5	108.0	99.0	127.057142857143	117.685714285714	104.7	155.25	145.0	126.25	253	252	227	45.295476202816104	45.7607298758084	39.37236002340921
EL19_6304	12340.66	32	27	28	73.5	65.5	61.0	108.0	99.0	89.5	117.76984126984101	108.73015873015899	96.82539682539681	154.0	146.25	125.25	250	249	226	54.395906125136	55.16352602195229	47.6948767672301
EL19_5532	14778.885	0	0	0	73.0	62.75	57.5	103.5	91.5	84.5	110.58571428571399	99.45	89.9071428571429	148.25	134.0	121.25	241	231	209	53.0356179644154	51.511725982236904	46.183384291147
EL19_6260	15198.68	14	12	12	47.5	41.0	42.0	87.0	78.5	74.0	103.135714285714	95.27142857142859	88.98571428571431	157.25	142.25	129.5	248	244	231	65.3673857377757	63.730643031856005	57.115430982534505
EL19_5598	11924.22	28	19	19	109.0	95.75	87.5	138.5	128.0	119.0	137.914285714286	128.378571428571	116.45	176.25	166.25	150.0	247	244	213	45.5742710631707	46.8752312772643	41.5377656021965
EL19_6737	13166.01	21	17	16	65.5	59.75	51.75	90.0	87.5	75.5	100.364285714286	97.4642857142857	84.6285714285714	129.0	127.0	112.25	241	238	222	51.58149390890701	51.8558337344207	45.247257217584895
EL19_5264	14425.905	41	30	27	96.75	84.0	75.75	135.5	123.5	112.0	134.52857142857098	124.464285714286	112.857142857143	168.0	159.5	146.5	234	230	215	48.414939554286605	49.2761139494679	45.3322778628919
EL19_6316	14769.175	23	14	15	69.0	59.75	54.75	102.0	89.0	81.0	109.957142857143	100.142857142857	91.1928571428571	146.0	134.25	120.5	242	244	243	53.3620552585664	53.5314835660773	48.058102787943795
EL19_5171	9780.43	24	21	24	56.25	50.25	53.0	98.0	87.0	86.0	100.694029850746	93.00746268656721	90.5671641791045	136.75	125.0	121.5	230	233	222	49.0333977960703	47.741549859502	43.093262694324
EL19_6135	12240.2	0	0	0	80.5	74.5	77.25	116.5	109.0	107.5	116.216417910448	108.873134328358	105.544776119403	153.0	145.75	140.5	226	226	212	49.6779647283719	48.7652689243073	45.3256580013768
EL19_5818	15505.425	17	10	10	55.0	50.0	49.0	90.5	79.0	76.0	98.7857142857143	89.99285714285709	84.0214285714286	126.0	114.25	105.0	249	245	228	55.118288196666	54.3102592993193	48.2634359504487
EL19_6328	16909.9	21	14	15	57.0	51.0	48.75	86.0	78.0	72.5	105.75	97.20714285714291	89.74285714285709	157.0	144.25	130.25	244	245	228	60.3513841460602	59.0793267995443	52.485609049011096
EL19_5574	12182.805	29	24	28	69.0	64.25	61.75	103.0	94.0	90.0	108.635714285714	100.75	95.87142857142858	133.75	126.5	119.5	251	250	232	50.6268917528113	50.3558738259697	45.8141134449883
EL19_6797	12106.36	23	18	21	67.5	58.0	56.75	102.0	89.5	84.5	114.207142857143	104.278571428571	96.72857142857141	157.0	144.5	129.0	250	250	228	56.6123377290226	56.141530794581	50.9887620369392
EL19_5174	8418.2	39	31	28	104.0	102.0	79.0	150.0	151.0	118.0	139.255639097744	138.714285714286	112.53383458646601	171.0	173.0	143.0	227	235	207	43.14258497603289	47.4760819253059	39.5536744782328
EL19_6285	10332.225	15	13	11	71.25	64.5	52.25	101.5	101.0	77.0	111.06349206349199	111.53174603174601	87.9206349206349	151.5	160.0	121.0	233	241	204	56.243150129664095	60.3928057315355	48.2897261412161
EL19_5269	13288.11	0	0	0	49.0	44.75	45.0	85.5	79.0	74.0	98.67857142857142	92.17142857142859	85.8785714285714	135.25	131.25	119.25	247	249	238	57.5021135497879	56.49396005879171	51.7564117401688
EL19_6300	15339.1	30	23	21	63.0	55.0	55.0	81.5	75.0	71.0	104.960317460317	97.9126984126984	91.36507936507941	138.25	128.0	115.25	251	250	229	56.9943717633453	57.675924938056404	51.5009286401095
