# 6712.616300 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,log2,1000.0,-7067561.515107291
10.0,0.5,1000.0,-7074440.728798332
10.0,sqrt,1000.0,-7078221.562440455
10.0,sqrt,500.0,-7079989.018322147
10.0,log2,500.0,-7085148.588589581
10.0,log2,100.0,-7093922.737821947
10.0,0.5,500.0,-7096660.493268317
10.0,0.5,100.0,-7115546.935124214
10.0,0.1,1000.0,-7118712.3148949575
10.0,0.1,500.0,-7126108.023312323
10.0,sqrt,100.0,-7129908.09859127
10.0,0.1,100.0,-7176045.280464908
5.0,0.5,1000.0,-7179646.634455579
5.0,0.5,500.0,-7182062.010643786
5.0,0.5,100.0,-7195674.930814828
5.0,sqrt,500.0,-7222915.473374846
5.0,log2,500.0,-7228500.898236871
5.0,log2,1000.0,-7228717.121157843
5.0,sqrt,1000.0,-7229852.281736122
5.0,log2,100.0,-7247532.759278946
5.0,sqrt,100.0,-7251760.652728622
5.0,0.1,500.0,-7301845.996277861
5.0,0.1,1000.0,-7305888.090134837
5.0,0.1,100.0,-7321344.072169538
3.0,0.5,1000.0,-7353062.136808711
3.0,0.5,500.0,-7355637.165305513
3.0,0.5,100.0,-7359548.253039924
3.0,log2,100.0,-7384213.116086284
3.0,sqrt,1000.0,-7387405.717102344
3.0,log2,500.0,-7387414.982119419
3.0,log2,1000.0,-7388986.593844342
3.0,sqrt,500.0,-7389787.353521695
3.0,sqrt,100.0,-7394248.314990004
3.0,0.1,1000.0,-7471912.265733468
3.0,0.1,500.0,-7474111.523597424
3.0,0.1,100.0,-7477657.840583446
