ID	Class	Min_RGB_9_2_19_R	Min_RGB_9_2_19_G	Min_RGB_9_2_19_B	1stQu_RGB_9_2_19_R	1stQu_RGB_9_2_19_G	1stQu_RGB_9_2_19_B	Median_RGB_9_2_19_R	Median_RGB_9_2_19_G	Median_RGB_9_2_19_B	Mean_RGB_9_2_19_R	Mean_RGB_9_2_19_G	Mean_RGB_9_2_19_B	3rdQu_RGB_9_2_19_R	3rdQu_RGB_9_2_19_G	3rdQu_RGB_9_2_19_B	Max_RGB_9_2_19_R	Max_RGB_9_2_19_G	Max_RGB_9_2_19_B	sd_RGB_9_2_19_R	sd_RGB_9_2_19_G	sd_RGB_9_2_19_B
EL19_5166	15758.25	31	30	17	70.5	78.0	50.0	109.0	120.0	86.0	108.93382352941201	124.43382352941201	88.35294117647058	148.25	168.25	125.25	212	241	193	47.504573223261204	54.802771247295894	45.2635949557969
EL19_6459	15053.58	38	42	27	78.5	92.0	52.5	113.0	119.0	86.0	120.72592592592599	132.340740740741	91.7481481481481	159.5	173.5	124.0	231	248	210	48.2517387560236	53.52362610741179	44.6518403154896
EL19_5715	15064.32	24	27	24	49.25	65.0	44.5	77.0	90.5	64.0	88.2222222222222	104.97619047619	76.3253968253968	116.0	138.5	100.75	210	238	194	46.83296085261129	52.1731677068915	37.7767821530801
EL19_6527	13713.625	31	31	21	75.75	83.75	47.75	99.5	118.0	65.0	105.457142857143	122.435714285714	70.4	130.25	156.0	86.0	235	252	190	42.543650276255896	51.0381731470785	33.2863745970172
EL19_5847	17317.575	43	42	24	108.0	112.0	74.25	134.0	137.0	97.0	137.309523809524	148.634920634921	106.253968253968	172.75	197.0	142.75	230	252	206	43.6809275150085	48.94676343532479	41.876759474999794
EL19_6786	16503.315	42	45	23	74.0	90.75	54.0	106.0	123.0	82.5	109.578571428571	127.121428571429	86.45714285714291	142.25	158.5	116.0	223	245	198	41.456064609518	46.143421685555296	37.9868154765754
EL19_5460	11399.625	0	0	0	94.75	98.5	62.0	124.5	139.5	86.0	128.477272727273	140.954545454545	90.469696969697	160.25	177.75	119.0	240	251	206	42.23714690606771	51.4566242349263	37.539076717781704
EL19_6652	10903.8	0	0	0	63.5	82.0	51.0	95.0	120.0	69.0	101.851851851852	122.933333333333	83.6666666666667	145.5	166.5	114.5	215	251	196	54.9205013672094	66.0922241232071	48.8262224629348
EL19_5486	13325.7	0	0	0	72.25	76.0	68.75	103.0	115.0	97.0	108.142857142857	121.33571428571399	102.021428571429	140.25	165.5	133.25	214	241	210	49.0000104872359	58.8704969060135	47.0061174431711
EL19_6756	11478.06	39	36	14	89.5	101.0	54.5	130.0	149.0	94.0	130.23021582733801	144.913669064748	95.28776978417271	162.5	188.5	124.5	242	251	230	50.5321416650574	56.8955924039036	46.278026307343104
