# 6641.923402 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,log2,1000.0,-6643201.986049108
10.0,sqrt,500.0,-6644158.009180452
10.0,sqrt,1000.0,-6647765.950649014
10.0,log2,500.0,-6653213.4411832215
10.0,0.5,1000.0,-6668773.049307704
10.0,0.1,1000.0,-6674362.148321712
10.0,sqrt,100.0,-6678730.600720724
10.0,0.1,500.0,-6681632.270001756
10.0,log2,100.0,-6681885.464484128
10.0,0.5,500.0,-6682931.37315317
10.0,0.1,100.0,-6704151.483660349
10.0,0.5,100.0,-6739102.081227345
5.0,0.5,500.0,-6815165.808164616
5.0,0.5,1000.0,-6819503.572646151
5.0,0.5,100.0,-6838257.7641441645
5.0,sqrt,500.0,-6855814.038445855
5.0,log2,1000.0,-6858584.706354737
5.0,sqrt,1000.0,-6859627.721085389
5.0,log2,500.0,-6861399.905253579
5.0,log2,100.0,-6867904.191221734
5.0,sqrt,100.0,-6882725.640426712
5.0,0.1,500.0,-6924032.850763011
5.0,0.1,100.0,-6929944.594937248
5.0,0.1,1000.0,-6930999.593655609
3.0,0.5,1000.0,-7114392.981361362
3.0,0.5,500.0,-7120566.122130471
3.0,sqrt,500.0,-7125774.160026859
3.0,log2,500.0,-7127368.522648121
3.0,sqrt,1000.0,-7128055.889033206
3.0,0.5,100.0,-7130282.392605767
3.0,log2,1000.0,-7130566.925977592
3.0,log2,100.0,-7139674.680941703
3.0,sqrt,100.0,-7142371.154183875
3.0,0.1,1000.0,-7202455.24727205
3.0,0.1,500.0,-7205320.622851704
3.0,0.1,100.0,-7217289.216809014
