plot,Anthesis,Silking,ExpLeaves_7_2_19_P1,ExpLeaves_7_2_19_P2,ExpLeaves_7_11_19_P1,ExpLeaves_7_11_19_P2,ExpLeaves_7_18_19_P1,ExpLeaves_7_18_19_P2,GreenSnap,EarHeightP1,EarHeightP2,EarLeafNumP1,EarLeafNumP2,PlantHeightP1,PlantHeightP2,TotalLeafNumP1,TotalLeafNumP2,Purpleness,Purpleness2,StandCount,EarLeafArea
EL19_5098,8/5/2019,8/9/2019,6,6,8,8,10,10,1,70,73,13,13,134,144,19,18,NA,Some,27,351.275
EL19_5099,8/5/2019,8/6/2019,7,6,9,9,11,11,0,61,69,14,15,133,126,20,20,Stems,Stem,27,455.325
EL19_5101,8/13/2019,8/15/2019,6,6,8,9,10,11,0,61,64,15,15,138,125,20,19,Stems,Stem,21,440.635
EL19_5102,8/8/2019,8/7/2019,5,6,8,8,10,11,0,69,64,14,14,137,124,18,18,Stems,Stem,22,415.41
EL19_5103,7/26/2019,7/29/2019,5,5,7,7,10,9,0,40,33,8,9,107,98,13,13,Stems,Stem,23,NA
EL19_5104,8/17/2019,8/19/2019,5,5,8,7,10,9,0,83,81,20,19,153,148,26,25,Stems,Some,17,497.335
EL19_5105,7/30/2019,7/31/2019,6,5,9,7,11,9,0,23,22,9,8,98,84,13,12,Stems,Stem,18,286.365
EL19_5106,8/5/2019,8/4/2019,6,6,9,8,11,11,0,75,73,13,13,138,137,19,19,Some,Some,26,391.045
EL19_5107,8/9/2019,8/9/2019,5,5,8,7,10,10,0,59,58,12,12,149,149,18,18,Stems,Stem,25,519.49
EL19_5108,8/7/2019,8/7/2019,5,5,8,8,10,10,0,70,72,13,13,138,133,18,17,Stems,Stem,32,466.075
EL19_5109,8/11/2019,8/14/2019,6,5,8,8,10,10,0,99,88,16,14,154,164,23,20,None,None,26,397.37
EL19_5110,8/4/2019,8/4/2019,7,7,10,10,13,12,0,59,62,13,13,143,144,19,18,High,Some,24,463.73
EL19_5111,8/5/2019,8/7/2019,6,6,8,9,10,10,0,48,32,12,10,164,165,19,18,None,None,28,418.175
EL19_5112,8/11/2019,8/13/2019,6,6,9,9,9,11,0,73,86,15,15,132,144,20,19,Stems,Stem,28,369.48
EL19_5113,8/14/2019,8/16/2019,5,5,7,7,9,9,0,85,92,12,12,177,185,18,18,Stems,Stem,34,581.775
EL19_5114,8/7/2019,8/6/2019,6,7,9,9,11,12,0,61,76,13,15,132,157,20,21,Stems,None,23,431.28
EL19_5115,8/9/2019,8/9/2019,5,5,7,7,9,9,0,70,70,12,12,175,170,18,18,None,None,32,443.89
EL19_5116,8/8/2019,8/10/2019,6,6,9,9,11,11,0,91,98,15,14,219,175,23,19,Stems,Stem,16,578.6
EL19_5117,8/9/2019,8/9/2019,6,6,8,8,10,10,0,76,69,13,13,173,156,19,18,Stems,Some,32,458.805
EL19_5118,8/6/2019,8/7/2019,6,6,9,9,11,11,0,75,66,14,13,155,159,20,18,Stems,Stem,31,402.325
EL19_5119,8/11/2019,8/13/2019,5,6,8,8,9,10,0,79,92,14,15,164,157,20,20,Some,Stem,34,416.945
EL19_5120,7/26/2019,7/28/2019,6,6,9,9,12,12,0,36,41,9,9,146,156,15,16,Stems,Stem,24,327.7
EL19_5121,8/6/2019,8/7/2019,7,7,10,10,12,13,0,93,89,17,17,149,130,22,21,Stems,Stem,25,384.31
EL19_5122,8/22/2019,8/26/2019,6,6,9,9,11,11,0,82,90,16,16,149,145,22,22,Stems,Stem,26,422.48
EL19_5123,8/7/2019,8/6/2019,6,5,8,7,10,9,0,78,77,13,12,150,149,18,17,Some,Stem,27,391.03
EL19_5124,8/13/2019,8/22/2019,5,6,7,8,9,10,0,63,81,14,14,135,139,20,19,Some,Stem,33,415.6
EL19_5125,8/12/2019,8/17/2019,7,7,9,10,11,12,0,47,54,15,16,113,129,22,23,Stems,Stem,25,449.43
EL19_5126,8/20/2019,8/29/2019,6,5,8,7,10,10,0,153,136,20,19,14,14,65,66,Stems,Stem,30,496.115
EL19_5127,8/1/2019,8/5/2019,6,6,8,8,10,10,0,52,64,11,11,131,133,16,15,Stems,Stem,20,426.33
EL19_5128,8/2/2019,8/5/2019,6,6,9,9,11,11,0,60,44,12,11,127,115,17,16,Stems,Stem,34,380.075
EL19_5129,8/6/2019,8/8/2019,7,7,9,9,10,NA,0,63,63,13,13,144,132,18,17,Stems,Stem,15,498.125
EL19_5130,8/14/2019,8/20/2019,7,6,9,9,11,10,0,70,77,15,15,131,132,21,20,Stems,Stem,27,319.07
EL19_5131,7/30/2019,7/31/2019,7,7,9,9,12,11,0,39,55,12,13,84,90,19,18,None,None,26,NA
EL19_5132,8/12/2019,8/14/2019,6,6,8,9,10,11,0,72,74,15,15,127,126,20,20,Stems,Some,33,374.235
EL19_5133,8/5/2019,8/5/2019,6,7,8,10,10,NA,0,45,33,12,11,116,115,17,16,Stems,Stem,29,430.775
EL19_5134,8/12/2019,8/15/2019,6,5,8,8,10,9,0,61,59,15,15,128,124,22,22,Some,Some,32,450.59
EL19_5135,8/5/2019,8/9/2019,7,8,11,11,13,13,0,78,81,16,17,143,139,21,21,Stems,None,26,495.495
EL19_5136,8/4/2019,8/7/2019,5,5,8,7,10,9,0,91,82,14,12,137,162,19,20,Stems,Stem,31,552.225
EL19_5137,8/8/2019,8/9/2019,6,6,9,9,11,11,0,95,99,15,15,168,168,21,20,Stems,Stem,28,513.36
EL19_5138,7/31/2019,8/1/2019,9,7,12,9,14,12,0,78,77,15,14,133,133,19,18,Some,Some,29,NA
EL19_5139,8/4/2019,8/7/2019,6,6,9,9,11,11,0,83,88,13,14,135,133,17,18,None,None,33,424.755
EL19_5140,8/7/2019,8/13/2019,7,6,10,8,12,10,0,73,84,14,13,156,157,20,18,Stems,Stem,29,494.555
EL19_5141,7/28/2019,7/28/2019,5,5,8,8,10,10,0,48,39,9,8,132,119,14,13,Stems,Stem,26,NA
EL19_5142,8/6/2019,8/7/2019,7,6,10,9,12,12,0,68,74,13,13,157,157,19,19,Stems,Stem,34,452.685
EL19_5143,7/31/2019,8/4/2019,6,6,9,8,11,11,0,43,43,10,10,111,107,15,14,Stems,Stem,19,343.335
EL19_5144,8/9/2019,8/12/2019,7,6,9,11,12,13,0,64,64,15,16,146,165,22,24,Stems,Stem,19,331.725
EL19_5145,8/8/2019,8/13/2019,6,5,8,8,9,9,0,56,55,12,12,139,143,19,19,None,None,31,461.865
EL19_5146,8/12/2019,8/13/2019,6,6,9,9,11,10,0,86,89,15,15,169,178,21,22,None,None,31,433.845
EL19_5147,8/9/2019,8/13/2019,5,6,7,8,9,9,NA,51,45,13,13,102,105,17,18,None,None,28,347.485
EL19_5148,NA,8/26/2019,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
EL19_5149,8/4/2019,8/4/2019,7,7,9,9,11,11,0,61,72,14,14,145,135,20,20,Some,Some,32,307.195
EL19_5150,8/4/2019,8/4/2019,6,5,8,8,11,10,0,73,82,13,13,166,152,19,17,Stems,Stem,27,493.8
EL19_5151,7/19/2019,7/24/2019,5,5,7,7,10,10,2,22,30,7,7,83,93,11,11,Stems,Stem,33,NA
EL19_5152,8/7/2019,8/7/2019,5,6,8,8,9,10,0,59,56,12,12,123,125,18,18,Stems,Stem,31,424.505
EL19_5153,8/6/2019,8/12/2019,5,6,7,8,10,10,0,62,67,12,13,123,117,17,17,Some,Some,31,455.59
EL19_5154,8/4/2019,8/6/2019,6,6,8,9,10,11,0,61,61,12,13,123,124,18,19,Stems,Some,32,441.34
EL19_5155,8/13/2019,8/15/2019,5,6,7,8,9,10,0,34,55,13,13,105,134,18,19,Stems,Some,33,398.385
EL19_5156,8/7/2019,8/9/2019,6,5,8,8,10,10,0,71,71,13,13,155,144,19,19,Stems,Stem,31,475.525
EL19_5157,8/23/2019,8/26/2019,6,6,8,9,10,11,0,65,63,15,15,136,142,22,22,High,High,29,455.585
EL19_5158,8/9/2019,8/9/2019,6,5,8,8,10,9,0,69,65,13,13,169,158,19,19,Stems,None,31,500.5
EL19_5159,8/1/2019,8/3/2019,6,6,8,9,11,11,0,64,61,12,11,139,128,17,17,Stems,Stem,32,423.76
EL19_5160,8/5/2019,8/5/2019,6,6,9,9,11,11,0,76,69,13,13,150,138,18,18,Stems,Stem,14,478.675
EL19_5161,8/7/2019,8/5/2019,7,6,9,8,11,11,0,57,72,12,13,160,156,19,19,Stems,Stem,17,462.805
EL19_5162,8/7/2019,8/9/2019,6,6,9,9,11,10,0,65,45,13,13,128,120,19,19,Stems,Some,22,446.51
EL19_5163,8/9/2019,8/13/2019,5,5,8,8,10,10,0,90,90,14,14,171,159,19,19,Stems,Stem,27,518.8
EL19_5164,8/14/2019,8/16/2019,6,6,9,9,11,12,0,100,95,16,16,156,165,21,21,Stems,Stem,27,390.44
EL19_5165,8/3/2019,8/5/2019,6,6,9,8,11,11,0,86,76,13,12,163,152,18,17,Some,Some,31,432.2
EL19_5166,8/13/2019,8/17/2019,7,7,10,10,11,11,0,49,65,14,16,97,112,19,20,Stems,Stem,25,630.33
EL19_5167,8/6/2019,8/8/2019,6,6,8,8,10,10,0,70,68,13,13,163,171,20,20,Stems,Stem,33,593.415
EL19_5168,7/28/2019,7/29/2019,6,6,8,9,10,11,0,66,78,11,12,139,170,15,17,Some,Some,24,454.41
EL19_5169,8/6/2019,8/7/2019,6,6,9,8,12,11,0,77,87,13,13,178,176,19,18,Stems,Stem,34,502.065
EL19_5170,8/11/2019,8/13/2019,6,6,9,9,12,11,0,93,110,18,18,175,196,23,24,Stems,None,26,430.86
EL19_5171,8/5/2019,8/7/2019,5,5,7,8,9,9,0,35,40,10,10,104,125,14,15,Stems,Stem,22,444.565
EL19_5172,8/12/2019,8/13/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stem,1,NA
EL19_5173,8/8/2019,8/8/2019,7,6,9,9,11,11,0,64,NA,13,NA,157,NA,19,NA,Stems,Stem,3,473.525
EL19_5174,8/21/2019,8/19/2019,6,6,8,8,10,10,0,61,44,17,16,127,122,23,22,Stems,Stem,20,420.91
