ZONE_CODE,id,BLUE_7_2_19,GREEN_7_2_19,NIR_7_2_19,RED_7_2_19,REDEDGE_7_2_19,BLUE_7_15_19,GREEN_7_15_19,NIR_7_15_19,RED_7_15_19,REDEDGE_7_15_19,BLUE_7_28_19,GREEN_7_28_19,NIR_7_28_19,RED_7_28_19,REDEDGE_7_28_19,BLUE_8_12_19,GREEN_8_12_19,NIR_8_12_19,RED_8_12_19,REDEDGE_8_12_19,BLUE_9_2_19,GREEN_9_2_19,NIR_9_2_19,RED_9_2_19,REDEDGE_9_2_19,BLUE_9_11_19,GREEN_9_11_19,NIR_9_11_19,RED_9_11_19,REDEDGE_9_11_19,COUNT_7_2_19,AREA_7_2_19,COUNT_7_15_19,AREA_7_15_19,COUNT_7_28_19,AREA_7_28_19,COUNT_8_12_19,AREA_8_12_19,COUNT_9_2_19,AREA_9_2_19,COUNT_9_11_19,AREA_9_11_19
1,EL19_fill-1-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039811504,0.100970028,0.415517588,0.062471716,0.232699669,0.036108197,0.089577799,0.376790642,0.066188341,0.209207458,0.054274868,0.125164295,0.549218476,0.106482883,0.312710762,0.047363376,0.099438271,0.383104885,0.089784717,0.222192839,NA,NA,NA,NA,182,3.727445922,797,15.86089369,1695,31.92501583,1491,30.26387204
2,EL19_fill-1-2,0.076647581,0.137853479,0.342161164,0.151014746,0.239997396,0.052558053,0.110590858,0.387516399,0.099078571,0.215560948,0.03661848,0.086002879,0.37424865,0.060849262,0.18103721,0.034401077,0.080703592,0.355417116,0.061088562,0.172909445,0.038766565,0.10177125,0.475190919,0.071479282,0.23809739,0.03962988,0.093710688,0.38011296,0.073497964,0.210154041,44,0.89724096,3,0.05981232,322,6.594712016,1223,24.33861101,1834,34.54305548,1673,33.95805361
3,EL19_fill-1-3,0.071476334,0.119750851,0.335270686,0.139666092,0.214942455,0.056185588,0.10947808,0.427868919,0.098887508,0.204172519,0.035891648,0.078447038,0.393775876,0.058696034,0.17186272,0.026985922,0.060079238,0.320581279,0.046002572,0.131914295,0.041191073,0.099112475,0.521301628,0.074749805,0.245050245,0.03589549,0.08115342,0.378342482,0.062342467,0.187976095,70,1.4274288,65,1.2959336,493,10.09687275,1299,25.85106763,1701,32.03802474,1596,32.39513064
4,EL19_fill-1-4,0.068426835,0.115552037,0.339572904,0.12940527,0.208752899,0.05337994,0.103085785,0.42157398,0.09288028,0.199128591,0.032501635,0.071129143,0.392796281,0.053757361,0.15874192,0.023986761,0.05126257,0.302191775,0.039937795,0.110745102,0.033038377,0.076315691,0.436145207,0.059897271,0.190073716,0.031454746,0.066603913,0.329642579,0.054874268,0.151673933,131,2.67133104,154,3.07036576,713,14.60257661,1393,27.72173765,1695,31.92501583,1549,31.44113869
5,EL19_fill-1-5,0.063336107,0.109313294,0.340780166,0.11752921,0.201305725,0.044823533,0.095132247,0.420984342,0.07557256,0.184086684,0.028136995,0.06752789,0.392197936,0.044777269,0.141537752,0.027264121,0.061636602,0.353617874,0.046802724,0.125100365,0.03489391,0.093824673,0.51504141,0.063044991,0.214906546,0.036610014,0.086786434,0.417097567,0.066877071,0.192719153,422,8.60535648,437,8.71266128,1218,24.94521502,1618,32.19940525,1802,33.94034132,1666,33.8159697
6,EL19_fill-1-6,0.068288755,0.114338632,0.34051774,0.128492236,0.208371468,0.04919317,0.093772347,0.402708059,0.085028803,0.178630606,0.027954786,0.058811664,0.353665564,0.045125282,0.122503174,0.026597068,0.05737577,0.341024315,0.044747165,0.118412582,0.029474686,0.072674184,0.458796968,0.051863349,0.172797897,0.032161822,0.071222541,0.377678973,0.058013236,0.160592138,232,4.73090688,263,5.24354672,1105,22.63092167,1584,31.52277992,1807,34.0345154,1681,34.12043521
7,EL19_fill-1-7,0.066461901,0.111319716,0.332472676,0.126148072,0.203636303,0.045991535,0.089513753,0.409665737,0.079250507,0.172043279,0.027272207,0.058639056,0.360897083,0.044838911,0.121327428,0.025915221,0.052915832,0.306005124,0.045032859,0.102358064,0.031790349,0.078380364,0.468743859,0.058785848,0.184234352,0.032162045,0.069519677,0.382785021,0.065349482,0.168176119,280,5.7097152,302,6.02110688,1124,23.02005064,1568,31.204368,1815,34.18519394,1664,33.7753743
8,EL19_fill-1-8,0.068888531,0.11513197,0.345125212,0.128792463,0.209493824,0.046651921,0.090961134,0.402529696,0.080490184,0.173576717,0.02811243,0.062642854,0.398590021,0.045416736,0.130647725,0.023983091,0.052437985,0.331391343,0.03988929,0.103938547,0.03483983,0.08757194,0.536562217,0.064507624,0.209129566,0.035017596,0.077766144,0.440530536,0.06951679,0.195828733,397,8.09556048,538,10.72634272,1380,28.2630515,1678,33.39344994,1768,33.29995752,1683,34.16103061
9,EL19_fill-1-9,0.071593313,0.118997413,0.34213277,0.137405285,0.214599906,0.049419717,0.094730704,0.398485989,0.086026276,0.180358684,0.033887796,0.070342188,0.392436255,0.056173043,0.143197575,0.029714629,0.060404794,0.328184203,0.052480054,0.118541095,0.039544911,0.088180086,0.497462957,0.074576248,0.204317586,0.037147597,0.077283361,0.404333786,0.071159671,0.179111614,137,2.79368208,187,3.72830128,782,16.01572918,1468,29.21429351,1820,34.27936803,1670,33.8971605
10,EL19_fill-1-10,0.073726366,0.120983607,0.342064155,0.138105117,0.214570129,0.05063274,0.094131832,0.39482096,0.087768511,0.17667184,0.033187182,0.066268652,0.371227496,0.05616113,0.133904819,0.028312818,0.057798982,0.330716577,0.04797941,0.112038315,0.033366096,0.073849127,0.43285849,0.061373898,0.16141215,0.034175032,0.073728773,0.383024545,0.05806083,0.154980084,134,2.73250656,136,2.71149184,668,13.68095536,1151,22.90575738,1711,32.22637291,1614,32.76048925
