,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,EL19_5166,15758.25,31.0,30.0,17.0,70.5,78.0,50.0,109.0,120.0,86.0,108.93382352941201,124.43382352941201,88.35294117647058,148.25,168.25,125.25,212.0,241.0,193.0,47.504573223261204,54.802771247295894,45.2635949557969,,,,,,
1,EL19_6459,15053.58,38.0,42.0,27.0,78.5,92.0,52.5,113.0,119.0,86.0,120.72592592592599,132.340740740741,91.7481481481481,159.5,173.5,124.0,231.0,248.0,210.0,48.2517387560236,53.52362610741179,44.6518403154896,,,,,,
2,EL19_5715,15064.32,24.0,27.0,24.0,49.25,65.0,44.5,77.0,90.5,64.0,88.2222222222222,104.97619047619,76.3253968253968,116.0,138.5,100.75,210.0,238.0,194.0,46.83296085261129,52.1731677068915,37.7767821530801,,,,,,
3,EL19_6527,13713.625,31.0,31.0,21.0,75.75,83.75,47.75,99.5,118.0,65.0,105.457142857143,122.435714285714,70.4,130.25,156.0,86.0,235.0,252.0,190.0,42.543650276255896,51.0381731470785,33.2863745970172,,,,,,
4,EL19_5847,17317.575,43.0,42.0,24.0,108.0,112.0,74.25,134.0,137.0,97.0,137.309523809524,148.634920634921,106.253968253968,172.75,197.0,142.75,230.0,252.0,206.0,43.6809275150085,48.94676343532479,41.876759474999794,,,,,,
5,EL19_6786,16503.315,42.0,45.0,23.0,74.0,90.75,54.0,106.0,123.0,82.5,109.578571428571,127.121428571429,86.45714285714291,142.25,158.5,116.0,223.0,245.0,198.0,41.456064609518,46.143421685555296,37.9868154765754,,,,,,
6,EL19_5460,11399.625,0.0,0.0,0.0,94.75,98.5,62.0,124.5,139.5,86.0,128.477272727273,140.954545454545,90.469696969697,160.25,177.75,119.0,240.0,251.0,206.0,42.23714690606771,51.4566242349263,37.539076717781704,,,,,,
7,EL19_6652,10903.8,0.0,0.0,0.0,63.5,82.0,51.0,95.0,120.0,69.0,101.851851851852,122.933333333333,83.6666666666667,145.5,166.5,114.5,215.0,251.0,196.0,54.9205013672094,66.0922241232071,48.8262224629348,,,,,,
8,EL19_5486,13325.7,0.0,0.0,0.0,72.25,76.0,68.75,103.0,115.0,97.0,108.142857142857,121.33571428571399,102.021428571429,140.25,165.5,133.25,214.0,241.0,210.0,49.0000104872359,58.8704969060135,47.0061174431711,,,,,,
9,EL19_6756,11478.06,39.0,36.0,14.0,89.5,101.0,54.5,130.0,149.0,94.0,130.23021582733801,144.913669064748,95.28776978417271,162.5,188.5,124.5,242.0,251.0,230.0,50.5321416650574,56.8955924039036,46.278026307343104,,,,,,
10,EL19_5271,9731.97,41.0,42.0,29.0,74.0,71.75,57.75,106.5,110.0,86.5,113.957142857143,118.714285714286,93.37857142857142,144.75,157.25,126.5,226.0,248.0,205.0,45.66028317262071,51.5576489122286,42.887919490601,,,,,,
11,EL19_6309,15049.76,32.0,28.0,8.0,63.25,64.5,44.25,86.5,90.5,64.5,93.80158730158729,102.420634920635,73.7063492063492,120.0,135.0,98.25,222.0,238.0,197.0,41.4111134535202,47.2534194613855,39.3159646882164,,,,,,
12,EL19_5835,11858.11,40.0,44.0,30.0,73.0,79.0,58.0,92.0,101.0,77.0,99.92857142857142,108.978571428571,84.1571428571429,123.25,127.25,101.25,208.0,228.0,195.0,37.385343732565204,43.21961116566651,37.0127863243263,,,,,,
13,EL19_6261,15270.53,31.0,30.0,15.0,57.75,63.0,45.0,80.0,90.5,69.0,88.3428571428571,99.65,75.70714285714291,108.25,122.25,92.25,241.0,249.0,224.0,41.6571776793587,47.16097109098371,40.7675453561768,,,,,,
14,EL19_5826,11423.245,43.0,39.0,23.0,106.0,107.75,62.75,122.5,134.5,80.5,127.092857142857,132.085714285714,85.04285714285709,152.0,154.5,109.0,211.0,212.0,168.0,34.0382553358773,36.9038193251199,30.874513115567197,,,,,,
15,EL19_6304,12340.66,55.0,54.0,27.0,97.0,98.0,63.0,109.0,120.0,76.0,113.43650793650801,123.539682539683,80.15079365079359,128.0,147.0,94.5,192.0,222.0,168.0,25.6267035825511,30.0782049447505,23.0137584797677,,,,,,
16,EL19_5532,14778.885,31.0,28.0,14.0,79.75,93.0,56.0,106.5,120.5,80.0,109.271428571429,123.871428571429,83.24285714285709,135.0,155.0,105.5,216.0,232.0,183.0,39.913907865679704,46.0910645153736,38.0510583576557,,,,,,
17,EL19_6260,15198.68,17.0,23.0,11.0,71.0,81.0,50.75,99.5,118.0,79.0,102.08571428571399,119.871428571429,82.33571428571429,132.0,153.5,110.0,218.0,239.0,189.0,42.9529583263194,47.4045565695537,38.8273453134571,,,,,,
18,EL19_5598,11924.22,71.0,65.0,32.0,126.0,125.5,84.75,150.0,158.5,106.0,151.164285714286,152.828571428571,108.271428571429,177.0,180.0,131.25,236.0,240.0,196.0,35.2209083411858,37.716844100212796,34.0456407285978,EL19_5098,0.038164335,0.08629762699999999,0.496406558,0.070751858,0.202326142
19,EL19_6737,13166.01,29.0,32.0,21.0,58.0,65.75,49.0,78.0,89.5,64.0,88.98571428571431,104.021428571429,77.16428571428571,115.75,136.5,99.25,209.0,220.0,182.0,39.423723952431104,46.96186541972,36.7784756246136,EL19_5099,0.02978045,0.0734911,0.453850232,0.049416046,0.162900446
20,EL19_5264,14425.905,46.0,57.0,45.0,83.75,107.0,82.75,100.0,124.5,98.5,103.3,127.435714285714,100.014285714286,122.25,149.0,116.0,174.0,205.0,169.0,29.014682465282103,32.9014684927972,26.196266886079396,,,,,,
21,EL19_6316,14769.175,43.0,48.0,30.0,81.75,98.75,63.0,110.0,123.0,86.5,107.314285714286,126.685714285714,86.07142857142858,127.75,157.5,108.25,199.0,218.0,173.0,31.541017194649502,39.4149819439816,29.692099294836503,,,,,,
22,EL19_5171,9780.43,51.0,57.0,38.0,81.25,87.0,68.0,99.5,105.5,83.0,101.067164179104,109.432835820896,85.0298507462687,119.0,128.75,99.0,169.0,190.0,150.0,25.4408344312703,28.9698956427494,22.697070228776997,,,,,,
23,EL19_6135,12240.2,46.0,38.0,26.0,98.5,101.25,72.25,135.0,140.5,104.5,130.970149253731,136.589552238806,100.335820895522,163.75,173.75,126.75,215.0,227.0,178.0,42.3685832497866,47.7854246325885,37.62496851942839,,,,,,
24,EL19_5818,15505.425,36.0,32.0,18.0,78.75,76.25,54.25,124.5,129.0,93.0,124.228571428571,126.328571428571,95.17142857142859,160.0,168.0,125.25,246.0,251.0,211.0,55.072266827179604,59.794064195808105,48.333366174044706,,,,,,
